work_id,is_oa,oa_status,oa_url
https://openalex.org/W1554476988,False,closed,
https://openalex.org/W1555224325,False,closed,
https://openalex.org/W1556073558,False,closed,
https://openalex.org/W1558442472,False,closed,
https://openalex.org/W1559356957,False,closed,
https://openalex.org/W1561409268,False,closed,
https://openalex.org/W1562630836,True,green,https://biblat.unam.mx/es/revista/jornal-de-pneumologia/articulo/tumor-carcinoide-broncotomia-como-alternativa-tecnica
https://openalex.org/W1563956725,False,closed,
https://openalex.org/W1832203940,False,closed,
https://openalex.org/W1851133417,False,closed,
https://openalex.org/W1990496354,False,closed,
https://openalex.org/W1990536671,True,gold,https://www.e-ceo.org/upload/pdf/ceo-6-30.pdf
https://openalex.org/W1990742694,True,hybrid,https://link.springer.com/content/pdf/10.1007/s11434-010-4247-4.pdf
https://openalex.org/W1990871621,True,bronze,https://meridian.allenpress.com/iosc/article-pdf/2005/1/253/2348377/2169-3358-2005-1-253.pdf
https://openalex.org/W1991102996,False,closed,
https://openalex.org/W1991140266,False,closed,
https://openalex.org/W1991393918,False,closed,
https://openalex.org/W1991669955,False,closed,
https://openalex.org/W1991724841,False,closed,
https://openalex.org/W1991809229,True,bronze,https://link.springer.com/content/pdf/10.3758/BF03209286.pdf
https://openalex.org/W1995680457,True,diamond,https://www.jpier.org/ac_api/download.php?id=13120405
https://openalex.org/W1995965677,False,closed,
https://openalex.org/W1995972674,False,closed,
https://openalex.org/W1996162400,False,closed,
https://openalex.org/W2000729752,False,closed,
https://openalex.org/W2001322533,False,closed,
https://openalex.org/W2001334274,False,closed,
https://openalex.org/W2003444939,True,diamond,http://www.doiserbia.nb.rs/ft.aspx?id=1820-39491302097G
https://openalex.org/W2003469294,False,closed,
https://openalex.org/W2003518199,True,bronze,http://link.aps.org/pdf/10.1103/PhysRevB.22.1471
https://openalex.org/W2003596640,False,closed,
https://openalex.org/W2003945840,False,closed,
https://openalex.org/W2004141181,False,closed,
https://openalex.org/W2004734111,True,diamond,https://www.richtmann.org/journal/index.php/jesr/article/download/1727/1731
https://openalex.org/W2035401242,False,closed,
https://openalex.org/W2035737547,False,closed,
https://openalex.org/W2036324385,False,closed,
https://openalex.org/W2036372021,True,gold,https://hts.org.za/index.php/hts/article/download/1975/3729
https://openalex.org/W2036568374,False,closed,
https://openalex.org/W2036653913,False,closed,
https://openalex.org/W2036904522,True,gold,https://bmcpublichealth.biomedcentral.com/counter/pdf/10.1186/1471-2458-12-478
https://openalex.org/W2042512976,False,closed,
https://openalex.org/W2042715523,False,closed,
https://openalex.org/W2043073035,False,closed,
https://openalex.org/W2043075193,False,closed,
https://openalex.org/W2043099890,False,closed,
https://openalex.org/W2043905963,True,bronze,https://iopscience.iop.org/article/10.1149/1.2792324/pdf
https://openalex.org/W2063779415,True,green,http://publica.fraunhofer.de/documents/N-189597.html
https://openalex.org/W2064277454,True,bronze,https://iopscience.iop.org/article/10.1086/305434/pdf
https://openalex.org/W2069051280,False,closed,
https://openalex.org/W2069174305,False,closed,
https://openalex.org/W2069433616,False,closed,
https://openalex.org/W2070218629,True,bronze,https://www.jstage.jst.go.jp/article/circj1960/56/7/56_7_722/_pdf
https://openalex.org/W2070233361,False,closed,
https://openalex.org/W2070406687,False,closed,
https://openalex.org/W2077012486,False,closed,
https://openalex.org/W2083232324,False,closed,
https://openalex.org/W2084391519,True,bronze,http://www.cell.com/article/S1535610802002374/pdf
https://openalex.org/W2084694443,False,closed,
https://openalex.org/W2094884831,True,green,https://arxiv.org/pdf/cond-mat/0106285
https://openalex.org/W2098007351,True,bronze,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1749-6632.1990.tb42219.x
https://openalex.org/W2098338109,True,diamond,https://doi.org/10.3109/0284186x.2013.829245
https://openalex.org/W2098761057,False,closed,
https://openalex.org/W2124815679,False,closed,
https://openalex.org/W2124978267,False,closed,
https://openalex.org/W2125431777,True,green,https://pure.eur.nl/en/publications/fbfb6786-9814-42ed-bdd6-363878379dab
https://openalex.org/W2126047658,True,bronze,https://pmj.bmj.com/content/postgradmedj/53/618/226.full.pdf
https://openalex.org/W2126048208,False,closed,
https://openalex.org/W2126966164,False,closed,
https://openalex.org/W2127408869,True,bronze,http://www.amjmed.com/article/S0002934313001435/pdf
https://openalex.org/W2187620470,True,green,http://depositonce.tu-berlin.de/handle/11303/4239
https://openalex.org/W2200456437,True,green,http://depositonce.tu-berlin.de/handle/11303/1699
https://openalex.org/W2216250896,True,green,http://depositonce.tu-berlin.de/handle/11303/2490
https://openalex.org/W2224820783,True,green,http://depositonce.tu-berlin.de/handle/11303/1444
https://openalex.org/W2243059945,True,green,http://depositonce.tu-berlin.de/handle/11303/1682
https://openalex.org/W2262225266,True,diamond,http://cientifica.org.br/index.php/cientifica/article/download/895/462
https://openalex.org/W2264922306,True,green,http://www.papersearch.net/google_link/fulltext.asp?file_name=42842225.pdf
https://openalex.org/W2265602337,False,closed,
https://openalex.org/W2267226769,False,closed,
https://openalex.org/W2268368070,False,closed,
