id,display_name,country_code,type,ror
https://openalex.org/I109009565,Dokkyo University,JP,education,https://ror.org/01vj3cz23
https://openalex.org/I118574674,Jiangsu Normal University,CN,education,https://ror.org/051hvcm98
https://openalex.org/I11957088,Michigan Technological University,US,education,https://ror.org/0036rpn28
https://openalex.org/I123900574,Pohang University of Science and Technology,KR,education,https://ror.org/04xysgw12
https://openalex.org/I125687163,City College of New York,US,education,https://ror.org/00wmhkr98
https://openalex.org/I1286891280,Metropolitan Museum of Art,US,archive,https://ror.org/03cm0t424
https://openalex.org/I1288214837,United States Naval Research Laboratory,US,facility,https://ror.org/04d23a975
https://openalex.org/I1289243028,Oak Ridge National Laboratory,US,facility,https://ror.org/01qz5mb56
https://openalex.org/I1294671590,Centre National de la Recherche Scientifique,FR,government,https://ror.org/02feahw73
https://openalex.org/I129634264,Toho University,JP,education,https://ror.org/02hcx7n63
https://openalex.org/I129902397,Dalhousie University,CA,education,https://ror.org/01e6qks80
https://openalex.org/I1299119326,Scottish Agricultural Science Agency,GB,government,https://ror.org/006sw6d69
https://openalex.org/I1299303238,National Institutes of Health,US,government,https://ror.org/01cwqze88
https://openalex.org/I1306686416,RTX (United States),US,company,https://ror.org/0354t7b78
https://openalex.org/I1308126019,National Oceanic and Atmospheric Administration,US,government,https://ror.org/02z5nhe81
https://openalex.org/I1327163397,State University of New York,US,education,https://ror.org/01q1z8k08
https://openalex.org/I1334819555,Memorial Sloan Kettering Cancer Center,US,healthcare,https://ror.org/02yrq0923
https://openalex.org/I1336742384,Children's National,US,healthcare,https://ror.org/03wa2q724
https://openalex.org/I1343871089,Los Alamos National Laboratory,US,facility,https://ror.org/01e41cf67
https://openalex.org/I141810926,Baruch College,US,education,https://ror.org/023qavy03
https://openalex.org/I141945490,University of British Columbia,CA,education,https://ror.org/03rmrcq20
https://openalex.org/I142974352,National Sun Yat-sen University,TW,education,https://ror.org/00mjawt10
https://openalex.org/I145872427,Radboud University Nijmegen,NL,education,https://ror.org/016xsfp80
https://openalex.org/I149899117,Max Planck Society,DE,nonprofit,https://ror.org/01hhn8329
https://openalex.org/I164950643,Open University of Israel,IL,education,https://ror.org/027z64205
https://openalex.org/I170201317,University of Pittsburgh,US,education,https://ror.org/01an3r305
https://openalex.org/I174216632,City University of New York,US,education,https://ror.org/00453a208
https://openalex.org/I177477856,Politecnico di Torino,IT,education,https://ror.org/00bgk9508
https://openalex.org/I180825142,"City, University of London",GB,education,https://ror.org/04489at23
https://openalex.org/I183067930,Shanghai Jiao Tong University,CN,education,https://ror.org/0220qvk04
https://openalex.org/I1850255,University of Basel,CH,education,https://ror.org/02s6k3f65
https://openalex.org/I187400657,South China Normal University,CN,education,https://ror.org/01kq0pv72
https://openalex.org/I193531525,George Washington University,US,education,https://ror.org/00y4zzh67
